leagues,outcomes,edge_min,sel_n,sel_roi,hld_n,hld_roi,hld_win,hld_per_season
E0+G1+SC0+T1,home,0.15,862,0.035258046996602524,356,0.1294200604564245,0.6910112359550562,50.857142857142854
G1+I1+T1,draw,0.08,813,-0.033320464684707916,734,0.12941725172660565,0.3133514986376022,104.85714285714286
G1+I1+T1,draw,0.05,813,-0.033320464684707916,734,0.12941725172660565,0.3133514986376022,104.85714285714286
D1+G1+I1+SP1,draw,0.12,428,-0.1860081164726398,346,0.12928712428882733,0.3092485549132948,49.42857142857143
E0+E1+N1+T1,home+draw,0.15,1058,0.037624410050147925,466,0.1292828738769742,0.5472103004291845,66.57142857142857
E0+P1+SP1+T1,all,0.2,669,0.041951121262419656,286,0.12917200477368793,0.6223776223776224,40.857142857142854
E0+N1+P1+T1,home,0.15,917,0.06394625322896409,372,0.1291677151704969,0.696236559139785,53.142857142857146
G1+P1+SC0,all,0.18,547,0.044583315215276295,357,0.12897544401894118,0.6498599439775911,51.0
D1+F1+G1+T1,draw,0.1,773,-0.041622717263114645,475,0.12890700224912124,0.2926315789473684,67.85714285714286
E1+T1,draw,0.08,654,0.07757581074814661,393,0.12890600950645092,0.30025445292620867,56.142857142857146
E1+T1,draw,0.05,654,0.07757581074814661,393,0.12890600950645092,0.30025445292620867,56.142857142857146
I1+SC0+SP1+T1,draw,0.12,418,-0.1621310624067332,332,0.1285486531246188,0.3132530120481928,47.42857142857143
E0+E1+G1+SC0,home,0.15,723,0.04814256693896995,320,0.12840011621309577,0.696875,45.714285714285715
F1+I1+SC0+T1,draw,0.08,1235,-0.06996508782878746,847,0.12838496151647624,0.29043683589138136,121.0
F1+I1+SC0+T1,draw,0.05,1235,-0.06996508782878746,847,0.12838496151647624,0.29043683589138136,121.0
E0+E1+N1+P1,home,0.15,778,0.0816889744782103,336,0.1282044518541803,0.7023809523809523,48.0
D1+G1+P1+T1,away,0.12,741,-0.03331771424063484,569,0.1281713687110265,0.5219683655536028,81.28571428571429
B1+D1+G1+P1,away,0.12,651,-0.04209579053810196,537,0.12806226780015062,0.5083798882681564,76.71428571428571
B1+E1+F1+I1,draw,0.1,853,0.028086683369325186,406,0.12796747623019722,0.2955665024630542,58.0
D1+E1+I1+T1,draw,0.1,810,-0.03485913966273425,539,0.12791456449807143,0.29313543599257885,77.0
G1+I1,away,0.12,337,-0.08431586892681606,293,0.12783127498337715,0.5870307167235495,41.857142857142854
G1+I1+P1+T1,away,0.15,476,-0.0717275300843945,355,0.12763820913931165,0.5943661971830986,50.714285714285715
E0+G1+N1+T1,home,0.15,896,0.06303951468497829,319,0.12763434940461021,0.7021943573667712,45.57142857142857
E0+E1+P1+T1,home+draw,0.15,1123,0.0506103204885512,559,0.12750633625386135,0.6046511627906976,79.85714285714286
D1+G1+I1+SC0,draw,0.12,420,-0.14162718418091527,330,0.1274359205145802,0.3,47.142857142857146
