leagues,outcomes,edge_min,sel_bets,sel_roi,hld_bets,hld_roi
E1,all,0.1,1002,-0.03694690800561947,460,0.008849492512067498
E1,all,0.12,546,-0.03220800207671362,278,0.05634350331251539
E1,all,0.15,257,-0.0737633939102292,160,0.06076583647077193
E1,all,0.18,134,-0.10987813939229861,102,0.05940627365639826
E1,all,0.2,92,-0.2119551698008584,74,0.07644831154846168
E1,all,0.25,35,-0.10964417435382873,31,0.1737885175954593
E1,home,0.08,826,0.006027522469345142,316,0.11648629530378607
E1,home,0.1,486,-0.015782494670527603,185,0.11983724081595987
E1,home,0.12,261,-0.0014178013641325633,129,0.1394571950456645
E1,home,0.15,110,-0.03518788438213502,80,0.20900851838505355
E1,home,0.18,46,0.009252679107321036,59,0.21286602546248656
E1,home,0.2,29,-0.11503399534008495,45,0.2222988759626022
E1,draw,0.08,336,0.039732111946067704,193,0.013318857167945113
E1,draw,0.1,189,0.024869528362961007,124,0.03359944202238297
E1,draw,0.12,115,-0.027469108098043316,72,0.0877353497177356
E1,draw,0.15,63,-0.06156968182106752,43,-0.2501401104019501
E1,draw,0.18,44,-0.12375071021333646,24,-0.4284008705268635
E1,draw,0.2,28,-0.4118889670653271,16,-0.5487912836367147
E1,away,0.08,597,-0.05104061505731592,298,-0.1511260435435866
E1,away,0.1,327,-0.10487867224231011,151,-0.24811352770523598
E1,away,0.12,170,-0.08292783023852551,77,-0.19882026406763728
E1,away,0.15,84,-0.12982011833471035,37,-0.19713946464389653
E1,away,0.18,44,-0.21635453247572417,19,-0.22389835403148908
E1,away,0.2,35,-0.17300227898835674,13,-0.16169075445894318
E1,home+draw,0.08,1162,0.014365786555187719,509,0.09114935010415384
E1,home+draw,0.1,675,-0.005755048392277099,309,0.0994256687399448
E1,home+draw,0.12,376,-0.008515831076772694,201,0.12898447253390383
E1,home+draw,0.15,173,-0.043699354655201826,123,0.12474734616687806
E1,home+draw,0.18,90,-0.04709230940031715,83,0.11579482633825117
E1,home+draw,0.2,57,-0.2397429780972642,61,0.11980027450380158
E1,draw+away,0.08,933,-0.019423942917810272,491,-0.090454856645863
E1,draw+away,0.1,516,-0.05953575627154401,275,-0.1349412259939629
E1,draw+away,0.12,285,-0.062496726607105514,149,-0.0797185155378763
E1,draw+away,0.15,147,-0.10418459453747445,80,-0.21967544343799814
E1,draw+away,0.18,88,-0.17763934021514255,43,-0.31224100126434506
E1,draw+away,0.2,63,-0.26154140100886625,29,-0.32505805824653733
E1,draw+away,0.25,26,-0.10373911903164815,5,-0.5293560376518317
F1,all,0.08,1654,-0.0005852213490874844,813,0.04480505002529862
F1,all,0.1,1098,-0.019839413682277908,530,-0.009444741619156143
F1,all,0.12,706,-0.02399541194801646,333,-0.018839450417309438
F1,all,0.15,369,0.04441563548289346,175,-0.033649628723788946
F1,all,0.18,176,0.019136686780957632,90,-0.03290462484667985
F1,all,0.2,119,0.024240457769930283,59,0.08526042569212508
F1,all,0.25,55,0.20744316441116925,30,0.27937544427138744
F1,home,0.08,708,0.007302620149844147,296,0.017143064320233558
F1,home,0.1,476,-0.012317252887419217,201,-0.01753759757391673
F1,home,0.12,307,-0.05628360196800013,123,-0.07844330429140392
F1,home,0.15,163,-0.08567987961751136,70,-0.09467180617507354
F1,home,0.18,73,-0.11816417084344834,27,-0.13521225076784077
F1,home,0.2,46,-0.08147896383230412,15,0.2604603974919761
F1,draw,0.08,480,-0.04243173329956464,165,0.1282192479369323
F1,draw,0.1,292,-0.09279542820254719,83,0.053822425296143346
F1,draw,0.12,169,-0.07932553901790013,48,0.17110581690479548
F1,draw,0.15,75,0.059032596589885626,21,0.10929217908657339
F1,draw,0.18,38,-0.15529988784613175,14,0.08809882519319087
F1,draw,0.2,29,-0.26116705852020705,9,0.4399272309385203
F1,away,0.08,466,0.017588314357980816,352,0.047177098856240475
F1,away,0.1,330,0.015002160269415164,246,-0.015789003810379506
F1,away,0.12,230,0.05204490206294261,162,-0.0051304226437629144
F1,away,0.15,131,0.20723062710958154,84,-0.005771165696043529
F1,away,0.18,65,0.25918172380084536,49,0.0014998861970702696
F1,away,0.2,44,0.2828431784358009,35,-0.036369636195011164
F1,away,0.25,25,0.46776249280936116,19,0.0009865034300388473
F1,home+draw,0.08,1188,-0.008266590505279057,461,0.04287581102899274
F1,home+draw,0.1,768,-0.036064539075966094,284,-0.0036568358928140837
F1,home+draw,0.12,476,-0.06264881025745779,171,-0.03232402697720543
F1,home+draw,0.15,238,-0.048669331522959776,91,-0.0613936308407624
F1,home+draw,0.18,111,-0.1287334641373495,41,-0.08086894990282482
F1,home+draw,0.2,75,-0.13864143366720222,24,0.3160236244493572
F1,home+draw,0.25,30,-0.031196984591110227,11,0.8912801906541973
F1,draw+away,0.08,946,-0.007950262485035919,517,0.06514363219217265
F1,draw+away,0.1,622,-0.026809469721795588,329,-0.0035552220586394403
F1,draw+away,0.12,399,0.005789935028370901,210,0.02274465130166811
F1,draw+away,0.15,206,0.1614262178499075,105,0.010436079601390646
F1,draw+away,0.18,103,0.12819823810817002,63,0.01436969041342026
F1,draw+away,0.2,73,0.1002846156827785,44,0.03045043500243179
F1,draw+away,0.25,41,0.20450863467092067,24,0.17162357975568548
G1,all,0.08,1157,-0.0036958823960215226,732,0.0711869795410894
G1,all,0.1,891,-0.002785571145868417,550,0.06273327347143975
G1,all,0.12,678,-0.008130501183949836,400,0.08494895072422709
G1,all,0.15,387,0.039238622212516186,234,0.0915427151032757
G1,all,0.18,201,-0.031872734331320395,121,0.11703864506939168
G1,all,0.2,133,-0.0468722609059614,65,0.15437415484383962
G1,all,0.25,38,-0.3522087054092599,10,-0.44441241856383595
G1,home,0.08,688,0.08569663573305333,252,0.07922357414304469
G1,home,0.1,538,0.10385390949217457,189,0.053874626698281414
G1,home,0.12,413,0.1158146158901959,152,0.08408452424795225
G1,home,0.15,242,0.197639271642286,105,0.1023833675517925
G1,home,0.18,117,0.19037962419601911,61,0.13226258775425362
G1,home,0.2,73,0.1914705402814022,31,0.18162678061811732
G1,draw,0.08,235,-0.2409645422385264,200,-0.03228006758468961
G1,draw,0.1,181,-0.2901565855805957,153,-0.055895600230606496
G1,draw,0.12,131,-0.34818631017539087,104,-0.0074717108047898054
G1,draw,0.15,56,-0.35254618280447425,57,-0.15491989032270542
G1,draw,0.18,28,-0.5512044905860001,28,-0.12221610096694832
G1,away,0.08,234,-0.1564182856667582,280,0.11067301183247988
G1,away,0.1,172,-0.1788231143568296,208,0.14288776867489464
G1,away,0.12,134,-0.20895953488901958,144,0.1354837573615535
G1,away,0.15,89,-0.2566986738085374,72,0.20448176572012142
G1,away,0.18,56,-0.34334840984581505,32,0.22059233765699257
G1,away,0.2,43,-0.30405761553005295,14,0.4722244396973858
G1,home+draw,0.08,923,0.03315783074574053,452,0.05428274715711517
G1,home+draw,0.1,719,0.04097335426465556,342,0.029868875409305058
G1,home+draw,0.12,544,0.04506107953076281,256,0.06642645810743956
G1,home+draw,0.15,298,0.1296974228431664,162,0.060795067871773224
G1,home+draw,0.18,145,0.09311682562347674,89,0.09132167396520928
G1,home+draw,0.2,90,0.09198913005628444,51,0.08848052503582304
